id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,Language1,Language2,Language3,LogEffort,LogPtsAjust,LogTransac,LogEntity
35,35,2,2,88,3,651,126,49,175,38,180,3,0,0,1,2.81,2.26,2.1,1.69
36,36,1,3,86,17,9135,317,119,436,34,432,2,0,1,0,3.96,2.64,2.5,2.08
37,37,2,4,87,11,1435,289,88,377,28,351,3,0,0,1,3.16,2.55,2.46,1.94
38,38,2,3,87,8,5922,260,144,404,24,360,1,1,0,0,3.77,2.56,2.41,2.16
39,39,1,4,88,4,847,158,59,217,18,180,3,0,0,1,2.93,2.26,2.2,1.77
40,40,3,3,88,16,8050,302,145,447,52,523,2,0,1,0,3.91,2.72,2.48,2.16
42,42,2,4,87,34,2352,661,132,793,23,698,3,0,0,1,3.37,2.84,2.82,2.12
43,43,1,1,88,10,2174,64,54,118,25,106,1,1,0,0,3.34,2.03,1.81,1.73
44,44,2,4,86,39,19894,284,230,514,50,591,1,1,0,0,4.3,2.77,2.45,2.36
45,45,2,1,86,18,6699,182,126,308,35,308,1,1,0,0,3.83,2.49,2.26,2.10
46,46,2,3,87,27,14987,173,332,505,19,424,1,1,0,0,4.18,2.63,2.24,2.52
47,47,2,2,88,9,4004,252,7,259,28,241,1,1,0,0,3.6,2.38,2.4,0.85
48,48,4,3,85,11,12824,131,180,311,51,361,1,1,0,0,4.11,2.56,2.12,2.26
49,49,2,3,85,8,2331,106,39,145,6,103,1,1,0,0,3.37,2.01,2.03,1.59
50,50,3,3,85,9,5817,96,108,204,29,192,1,1,0,0,3.76,2.28,1.98,2.03
51,51,2,3,85,7,2989,116,72,188,18,156,1,1,0,0,3.48,2.19,2.06,1.86
52,52,3,3,85,6,3136,86,49,135,32,131,1,1,0,0,3.5,2.12,1.93,1.69
53,53,2,3,85,17,14434,221,121,342,35,342,1,1,0,0,4.16,2.53,2.34,2.08
54,54,1,1,87,12,2583,61,96,157,18,130,1,1,0,0,3.41,2.11,1.79,1.98
55,55,1,3,86,12,3647,132,89,221,5,155,2,0,1,0,3.56,2.19,2.12,1.95
57,57,1,1,86,12,3276,55,112,167,12,129,2,0,1,0,3.52,2.11,1.74,2.05
58,58,1,4,87,8,2723,124,52,176,14,139,2,0,1,0,3.44,2.14,2.09,1.72
59,59,3,3,87,5,3472,120,126,246,15,197,2,0,1,0,3.54,2.29,2.08,2.10
60,60,1,2,87,6,1575,47,32,79,14,62,2,0,1,0,3.2,1.79,1.67,1.51
61,61,1,1,86,12,2926,126,107,233,23,205,2,0,1,0,3.47,2.31,2.1,2.03
62,62,3,2,86,6,1876,101,45,146,15,117,2,0,1,0,3.27,2.07,2,1.65
63,63,1,1,86,5,2520,78,99,177,14,140,1,1,0,0,3.4,2.15,1.89,2.00
64,64,4,7,86,13,1603,69,74,143,14,113,1,1,0,0,3.2,2.05,1.84,1.87
65,65,1,3,86,8,3626,194,97,291,35,291,2,0,1,0,3.56,2.46,2.29,1.99
67,67,2,4,87,15,11361,323,184,507,35,507,2,0,1,0,4.06,2.71,2.51,2.26
68,68,1,3,86,6,1267,42,31,73,27,67,2,0,1,0,3.1,1.83,1.62,1.49
69,69,1,2,87,5,2548,74,43,117,25,105,2,0,1,0,3.41,2.02,1.87,1.63
70,70,3,4,87,10,1155,101,57,158,9,117,2,0,1,0,3.06,2.07,2,1.76
71,71,0,4,86,6,546,97,42,139,6,99,3,0,0,1,2.74,2,1.99,1.62
72,72,2,3,84,13,2275,134,77,211,13,165,2,0,1,0,3.36,2.22,2.13,1.89
74,74,0,2,84,6,595,213,73,286,6,203,3,0,0,1,2.77,2.31,2.33,1.86
75,75,0,3,84,22,3941,139,143,282,22,245,2,0,1,0,3.6,2.39,2.14,2.16
76,76,2,3,86,24,13860,473,182,655,40,688,2,0,1,0,4.14,2.84,2.67,2.26
77,77,4,4,85,12,1400,229,169,398,39,414,3,0,0,1,3.15,2.62,2.36,2.23
79,79,4,4,82,24,9520,395,193,588,40,617,1,1,0,0,3.98,2.79,2.6,2.29
80,80,4,3,86,12,5880,469,176,645,43,697,3,0,0,1,3.77,2.84,2.67,2.25
81,81,4,4,85,36,23940,886,241,1127,34,1116,1,1,0,0,4.38,3.05,2.95,2.38
